OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
"47795","060371351023","060371351023","06","037","135102","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",143.7869958,0,143.7869958,143.787,"1358","381","381","474",0.719219602470649,0.617368106732107,121.695567131391,372.83,14,16,16,17,16,3690.83390737082,581898.082131247
"47796","060379201101","060379201101","06","037","920110","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",260.3966981,0,260.3966981,260.3966981,"3093","1002","965","2068",0.871946172931655,0.26756162640092,156.548836054538,-99999,4,20,18,1,10.3333333333333,5185.15692730049,1053811.17995385
"47797","060371351111","060371351111","06","037","135111","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",75.8169517,0.9911181,74.8258336,74.8258336,"1033","289","279","373",0.732351496467728,0.552848341244502,159.688164169012,417.09,12,17,18,16,16.1666666666667,2521.06868363438,306827.5045777
"47798","060371351112","060371351112","06","037","135111","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",108.5127295,0.7346283,107.7781012,107.7781012,"1369","458","417","654",0.580806330458902,0.274454059685931,124.748161735104,634.35,4,11,16,14,12.5,2979.46503453186,439145.420128505
"47799","060371351113","060371351113","06","037","135111","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",72.5809301,1.658041,70.9228891,70.9228891,"1094","459","449","417",0.74879702852585,0.807153364131491,180.549892460599,174.35,19,17,19,19,18.6666666666667,2953.07508885984,293730.975415849
"47800","060371352011","060371352011","06","037","135201","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",227.9467848,0.0867321,227.8600527,227.8600527,"2038","688","662","785",0.493302543175116,0.715339750600813,228.533257071436,178.37,17,8,20,19,17.1666666666667,3989.56715136588,922488.052784755
"47801","060371352021","060371352021","06","037","135202","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",104.6078082,0,104.6078082,104.6078082,"1240","437","428","533",0.738588855817136,0.244676618084585,122.392393266873,205.19,4,17,16,19,15.1666666666667,2884.44353103401,423342.793748981
"47802","060371352022","060371352022","06","037","135202","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",139.5581264,0,139.5581264,139.5581264,"1573","481","452","660",0.863388207216567,0.870640315473571,206.438999599525,628.99,20,20,19,14,17.6666666666667,3598.11858527894,564785.746110292
"47803","060371352023","060371352023","06","037","135202","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",191.3710428,0,191.3710428,191.3710428,"1784","630","590","804",0.732900965189534,0.349957629693712,95.8974760835656,380.88,6,17,14,17,14.1666666666667,4013.97930095332,774468.803434064
"47807","060379011022","060379011022","06","037","901102","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",237.3622832,0,237.3622832,237.3622832,"1583","566","537","720",0.736299781033338,0.539727832743459,48.5387983494085,-99999,11,17,9,1,8,4585.37598874058,960592.36728677
"47808","060379010071","060379010071","06","037","901007","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",642.6645988,0,642.6645988,642.6645988,"1321","404","339","465",0.713416841373586,0.523427432159814,22.2473744884919,-99999,11,16,7,1,7.16666666666667,6389.58344954911,2600827.37999608
"47809","060379010072","060379010072","06","037","901007","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",644.8786148,0,644.8786148,635.59464,"777","334","300","449",0.512901707717081,0.485297374065969,30.112457684804,-99999,10,9,7,1,5.83333333333333,6472.21322069772,2609789.41558661
"47810","060379011011","060379011011","06","037","901101","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",807.0330478,0.6861967,806.3468511,793.38449,"3668","1111","1056","1469",0.781201230298572,0.344295942973902,60.0817376962657,-99999,6,18,10,1,7.66666666666667,8943.73635141351,3266020.40992889
"47811","060379011012","060379011012","06","037","901101","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",483.8121631,0,483.8121631,483.8121631,"1814","801","683","1224",0.839954485707715,0.499483267382918,41.0169101017378,-99999,10,20,9,1,8.33333333333333,8158.15008720815,1957959.66015069
"47812","060379011021","060379011021","06","037","901102","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",322.925106,0,322.925106,322.925106,"2283","789","752","1028",0.405629552138198,0.206740776343768,39.6515469441388,-99999,3,6,8,1,4.5,5232.37837426694,1306861.28964531
"47813","060371343032","060371343032","06","037","134303","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",86.0560344,1.3212437,84.7347907,84.7347907,"732","419","419","536",0.847482295918346,0.841185083833246,95.6886767881047,126.07,19,20,14,20,17.8333333333333,2788.62302197995,348264.608535977
"47814","060379201112","060379201112","06","037","920111","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",137.6006002,0,137.6006002,137.6006002,"1625","543","519","735",0.380860085624414,0.470575134320315,76.0043196381348,-99999,9,5,12,1,6.66666666666667,4023.09774158642,556862.672849956
"47815","060379201121","060379201121","06","037","920112","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",100.2716974,0,100.2716974,97.80974,"1167","463","463","689",0.687373428045236,0.712148170094106,161.762096589381,-99999,17,15,18,1,11.6666666666667,4201.52993233803,405794.688758719
"47822","060379103022","060379103022","06","037","910302","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",466.0390014,0,466.0390014,447.58485,"2608","918","873","1353",0.753895841596009,0.567440599599395,77.8551148959697,-99999,12,17,12,1,9.16666666666667,6287.85175357615,1886035.16913104
"47823","060378003251","060378003251","06","037","800325","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",289.865597,4.3857779,285.4798191,284.74265,"1673","731","703","810",0.664878257584763,0.675252843626544,122.590521846103,527.06,15,14,16,15,15.1666666666667,4650.17408296885,1173067.71910955
"47824","060379012052","060379012052","06","037","901205","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",317.7172264,0.4971652,317.2200612,317.2200612,"1823","667","572","763",0.0988404271448595,0.916730319839735,148.013841944243,-99999,20,2,17,1,9.66666666666667,5329.69723104662,1285783.08214751
