GEOID10,NatWalkInd
60371872002,13.3333333333333
60371873001,17.0
60371873002,13.8333333333333
60375437024,14.1666666666667
60375437025,17.1666666666667
60375437031,14.6666666666667
60372043002,12.3333333333333
60372043003,14.8333333333333
60372043004,14.3333333333333
60372044101,18.1666666666667
60372044102,17.5
60372046001,18.1666666666667
60372046002,16.1666666666667
60372093002,15.5
60372094022,17.8333333333333
60372095102,15.3333333333333
60372095201,17.1666666666667
60372098102,17.3333333333333
60372098201,13.6666666666667
60372100101,15.6666666666667
60372100102,14.6666666666667
60375438011,10.8333333333333
60375438022,18.0
60375438023,15.0
60375438024,16.3333333333333
60372011102,11.8333333333333
60372011201,13.0
60372011202,10.6666666666667
60372011203,14.1666666666667
60372012001,16.0
60372013011,14.0
60372086101,15.0
60371374023,14.6666666666667
60375517005,16.8333333333333
60375518001,13.6666666666667
60375518003,13.8333333333333
60375518004,15.6666666666667
60372013012,15.8333333333333
60372047001,17.1666666666667
60372047002,16.3333333333333
60372047003,13.1666666666667
60372048101,14.3333333333333
60372048102,18.8333333333333
60372048103,16.5
60372048201,13.8333333333333
60372048202,15.5
60375516001,16.1666666666667
60375517001,15.5
60372100103,15.1666666666667
60372110001,16.1666666666667
60372110002,15.6666666666667
60372110003,14.0
60372110004,11.5
60372110006,18.0
60372111201,14.3333333333333
60372111202,15.5
60375517002,14.6666666666667
60372013021,11.3333333333333
60372013022,10.6666666666667
60372115002,15.1666666666667
60372113102,15.6666666666667
60372113201,15.5
60372114102,13.8333333333333
60372114201,16.0
60372114202,16.5
60372115001,16.8333333333333
60372115003,13.6666666666667
60372117013,16.1666666666667
60375519001,13.1666666666667
60375519002,12.6666666666667
60375519003,15.6666666666667
60375519004,15.0
60375519005,10.8333333333333
60375519006,14.5
60375521001,12.5
60372013023,12.0
60372013024,8.83333333333333
60375503001,9.83333333333333
60375504001,13.5
60375503002,16.5
60375503003,12.0
60375503004,15.8333333333333
60375503005,15.3333333333333
60375503006,13.5
60375512022,13.8333333333333
60375512011,15.1666666666667
60375512012,15.1666666666667
60375512021,13.1666666666667
60375512023,15.8333333333333
60375512024,12.3333333333333
60375508001,17.0
60375513001,15.6666666666667
60375513002,13.6666666666667
60372131002,15.8333333333333
60372132011,18.1666666666667
60372132012,17.0
60375513003,16.8333333333333
60375507002,11.6666666666667
60375507003,11.0
60375507004,15.3333333333333
60375507005,15.6666666666667
60375507006,8.5
60375508002,16.6666666666667
60375508003,16.1666666666667
60375521002,15.6666666666667
60375521003,17.6666666666667
60375527004,12.0
60375521004,16.3333333333333
60375521005,16.1666666666667
60375522001,16.8333333333333
60375522002,11.1666666666667
60375522003,16.6666666666667
60375439031,15.8333333333333
60375439032,14.5
60371434003,16.1666666666667
60371434004,15.8333333333333
60371435001,14.5
60371435002,14.6666666666667
60371435003,15.8333333333333
60375526011,11.5
60375526013,14.1666666666667
60375526021,10.0
60375526023,13.5
60375527003,12.1666666666667
60375527005,15.5
60375528001,15.6666666666667
60375528002,13.6666666666667
60375528004,15.8333333333333
60375529005,13.0
60375529002,14.0
60375529003,11.5
60375529004,11.8333333333333
60375530002,12.3333333333333
60371926201,16.0
60371926202,17.3333333333333
60371927002,16.6666666666667
60371942001,7.66666666666667
60375530003,12.0
60372049101,18.3333333333333
60372049201,15.6666666666667
60372049202,14.1666666666667
60372051101,15.8333333333333
60372122032,16.1666666666667
60372119102,13.6666666666667
60372122022,17.1666666666667
60372122031,10.8333333333333
60372123062,16.1666666666667
60372122041,19.0
60372123031,18.6666666666667
60372123041,18.1666666666667
60372124101,17.0
60372126101,18.5
60372128003,14.5
60372126102,15.1666666666667
60372128001,13.8333333333333
60372129002,13.8333333333333
60375508004,11.8333333333333
60375508005,14.3333333333333
60375508006,9.16666666666667
60375508007,10.0
60375524001,15.8333333333333
60375505001,14.8333333333333
60375505002,13.5
60375524003,15.0
60375505003,14.1666666666667
60375530004,17.5
60375531003,12.6666666666667
60372014011,14.6666666666667
60372051201,17.6666666666667
60372060101,15.6666666666667
60372060102,17.3333333333333
60372060201,13.0
60375505004,13.8333333333333
60375505005,12.1666666666667
60375531001,13.1666666666667
60371954002,16.1666666666667
60371955001,16.1666666666667
60371955002,13.8333333333333
60371956002,16.6666666666667
60375436022,14.3333333333333
60375436031,15.0
60375436041,14.3333333333333
60375510001,12.3333333333333
60375510002,10.6666666666667
60375510003,12.8333333333333
60375510004,12.5
60375510006,12.6666666666667
60371945001,17.8333333333333
60371951001,14.1666666666667
60371951002,17.8333333333333
60371956004,18.1666666666667
60371957101,16.5
60371957102,16.6666666666667
60371957202,13.5
60371958022,14.1666666666667
60372014012,10.8333333333333
60372014021,12.6666666666667
60372014022,13.8333333333333
60375710004,5.16666666666667
60375545211,16.0
60375545212,9.66666666666667
60375545221,9.83333333333333
60375545222,15.0
60375546001,13.0
60375546002,11.8333333333333
60375547001,13.5
60375547002,14.5
60371349042,11.8333333333333
60371951003,13.6666666666667
60375702025,11.1666666666667
60375702031,14.0
60375702032,17.1666666666667
60375710001,8.33333333333333
60375710002,5.16666666666667
60375710003,7.33333333333333
60375710005,8.16666666666667
60375710006,8.66666666666667
60375711023,9.5
60375711012,7.33333333333333
60375711013,7.5
60375711022,11.3333333333333
60375711024,9.5
60375711025,6.66666666666667
60375712001,8.16666666666667
60371972003,13.0
60371951004,14.1666666666667
60371972002,11.5
60372014023,14.6666666666667
60375749014,11.0
60372015011,16.6666666666667
60371436021,13.6666666666667
60371436022,14.0
60371436023,17.6666666666667
60371437001,6.5
60371438001,17.8333333333333
60375712003,8.5
60375712004,10.5
60375712006,8.33333333333333
60375748002,14.0
60375748003,8.0
60375749013,7.66666666666667
60375749021,11.8333333333333
60375749022,11.8333333333333
60375751021,8.33333333333333
60375750012,10.1666666666667
60375750022,9.33333333333333
60375751011,10.0
60375501004,13.5
60375501001,14.6666666666667
60375501002,13.0
60375501003,11.8333333333333
60375501005,16.8333333333333
60372063001,17.5
60375501006,16.8333333333333
60372015013,15.1666666666667
60372015031,11.5
60372015041,15.0
60371438003,14.3333333333333
60375531004,18.5
60375532001,10.6666666666667
60375542011,19.0
60375542013,11.1666666666667
60371810005,14.0
60371433002,14.6666666666667
60371433004,14.8333333333333
60371433001,13.0
60375548022,15.6666666666667
60375548023,12.0
60375549002,14.6666666666667
60375549004,15.6666666666667
60375550012,16.0
60375550022,9.0
60375551021,13.5
60375551022,12.6666666666667
60375551031,13.3333333333333
60371953002,16.8333333333333
60371954001,14.0
60371973002,12.3333333333333
60371973003,15.6666666666667
60371974101,13.5
60371974102,15.5
60371974201,15.1666666666667
60371974202,17.6666666666667
60371434001,15.8333333333333
60371434002,14.1666666666667
60375551032,13.8333333333333
60375551041,13.5
60375551042,16.6666666666667
60375702041,15.0
60371975001,17.0
60371975002,13.0
60371975003,13.3333333333333
60372017002,13.5
60372031001,14.1666666666667
60372060501,13.5
60372062001,17.8333333333333
60372062002,19.0
60375537013,15.5
60375537021,16.3333333333333
60375537022,11.0
60375538011,15.0
60375538012,11.6666666666667
60375700023,7.83333333333333
60375552021,15.1666666666667
60375552111,13.6666666666667
60375552112,12.8333333333333
60375552121,14.8333333333333
60375700011,7.5
60375700013,11.5
60375700021,4.66666666666667
60375702042,12.5
60375703032,12.0
60375703011,12.5
60375703013,8.33333333333333
60375703031,8.33333333333333
60375703042,15.6666666666667
60375712007,10.3333333333333
60375714003,11.5
60375436042,10.8333333333333
60375437011,13.0
60375437022,14.8333333333333
60375437023,14.6666666666667
60375713001,10.5
60375713002,5.83333333333333
60375713003,7.33333333333333
60375713004,10.8333333333333
